LocID,Longitude,Latitude,YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleYear,SampleMonth,SampleDay,NameOfSamplers,WeatherConditions,SampleLocation,SampleMethod,Depth,SampleHour,SampleMinutes,Filtered,Frozen,Parameter,Value,Units,Rep,Fluorometer,AnalysisYear,AnalysisMonth,AnalysisDay,AnalysisHour,AnalysisMinutes,GPSType,Photos,Flag,Comments,ID,LocIDNew,WBID,Lon_LocIDNew,Lat_LocIDNew,siteDescription,siteComment,Lon_WBID,Lat_WBID
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,6,23,,,WL1,Integrated,3,,,FALSE,TRUE,Phycocyanin,2.5,ug/l,2,Beagle,2014,6,27,,,,FALSE,FALSE,,17,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,8,20,,,WL1,Integrated,3,,,FALSE,TRUE,Phycocyanin,88,RFU,2,Beagle,2014,10,9,,,,FALSE,TRUE,Uncertain Calibration Status; ,631,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,6,23,,,WL1,Integrated,3,,,FALSE,FALSE,Phycocyanin,3,ug/l,2,Beagle,2014,6,23,,,,FALSE,FALSE,,11,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,8,20,,,WL1,Integrated,3,,,FALSE,TRUE,Phycocyanin,16,RFU,1,Beagle,2014,10,9,,,,FALSE,TRUE,Uncertain Calibration Status; ,630,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,7,15,,,WL1,Integrated,3,,,FALSE,FALSE,Phycocyanin,0.55,ug/l,3,Beagle,2014,7,15,,,,FALSE,FALSE,,170,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,6,23,,,WL1,Integrated,3,,,FALSE,TRUE,Phycocyanin,2,ug/l,1,Beagle,2014,6,27,,,,FALSE,FALSE,,16,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,7,15,,,WL1,Integrated,3,,,FALSE,TRUE,Phycocyanin,1.5,ug/l,1,Beagle,2014,7,17,,,,FALSE,FALSE,,174,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,7,15,,,WL1,Integrated,3,,,FALSE,FALSE,Phycocyanin,1,ug/l,1,Beagle,2014,7,15,,,,FALSE,FALSE,,168,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,6,23,,,WL1,Integrated,3,,,FALSE,FALSE,Phycocyanin,0.1,ug/l,3,Beagle,2014,6,23,,,,FALSE,FALSE,,12,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
1,-73.17383333,45.01333333,Angela Shambaugh,VTDEC,50,,VT,,2014,6,23,,,WL1,Integrated,3,,,FALSE,FALSE,Phycocyanin,1.5,ug/l,1,Beagle,2014,6,23,,,,FALSE,FALSE,,10,1,22302965,-73.17383333,45.01333333,WBID=22302965 VTDEC NA 50 NA WL1,,-73.313467071,44.5760657764
